,description,slug,published,title,category,featured,image_front,category_title,occasion,recipient,tone,keywords
496,"<p>This Avurudu, get a taste of something different with this sweet Voucher! Designed to add a dash of cheeky charm and cool vibes to your celebrations, it's the perfect way to sprinkle your festivities with a little extra sweetness and a lot of fun. It's not just a gift, it's a gateway to joyful experiences and festive cheer that everyone will remember!</p>
",avurudu-askme-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-askme-25-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"playful, festive","avurudu, cheeky, fun, sri lankan, festive, sweet, cool vibes, funny"
498,"<p>This Avurudu, spice up the tradition of Gane Denu with our exclusive Thyaga Voucher! Perfect for hitting that auspicious moment with flair. From thrilling shopping sprees to sweet delights, gift a slice of excitement that packs more punch than its face value. Dive into a New Year where every choice brims with spirit and prosperity.</p>
",avurudu-betel-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-betel-25-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"traditional, festive","avurudu, gane denu, betel, traditional, auspicious, sri lankan new year"
500,"<p>This Avurudu, get a taste of something different with this sweet Voucher! Designed to add a dash of cheeky charm and cool vibes to your celebrations, it's the perfect way to sprinkle your festivities with a little extra sweetness and a lot of fun. It's not just a gift, it's a gateway to joyful experiences and festive cheer that everyone will remember!</p>
",avurudu-aliya-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-aiya-25-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"playful, festive","avurudu, aliya, elephant, fun, sri lankan, festive, playful"
501,"<p>This Avurudu, get a taste of something different with this sweet Voucher! Designed to add a dash of cheeky charm and cool vibes to your celebrations, it's the perfect way to sprinkle your festivities with a little extra sweetness and a lot of fun. It's not just a gift, it's a gateway to joyful experiences and festive cheer that everyone will remember!</p>
",avurudu-kukula-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-kukula-25-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"playful, festive","avurudu, kukula, fun, sri lankan, festive, playful, cheeky, funny"
502,"<p>This Avurudu, get a taste of something different with this sweet Voucher! Designed to add a dash of cheeky charm and cool vibes to your celebrations, it's the perfect way to sprinkle your festivities with a little extra sweetness and a lot of fun. It's not just a gift, it's a gateway to joyful experiences and festive cheer that everyone will remember!</p>
",avurudu-banis-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/avurudu-banis-25-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"playful, festive","avurudu, banis, fun, sri lankan, festive, sweet, playful, funny"
503,"<p>When they're the wildest, most beautiful thing in your world, this voucher says it all. Give them a gift as fierce and unforgettable as your love!</p>",hottest-bird-2025,1,Lovebird Gift Card,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/kumari-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","flirty, bold, playful","lovebirds, fierce, love, flirty, avurudu, kumari, sri lankan, bold, kumaraya"
504,"<p>This Avurudu, get a taste of something different with this sweet Voucher! Designed to add a dash of cheeky charm and cool vibes to your celebrations, it's the perfect way to sprinkle your festivities with a little extra sweetness and a lot of fun. It's not just a gift, it's a gateway to joyful experiences and festive cheer that everyone will remember!</p>
",avurudu-malla-2025,1,Sinhala & Tamil Avurudu Gift Card,Avurudu2,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/malla-front.png,\0,"Sinhala and Tamil New Year, Avurudu",anyone,"playful, festive","avurudu, malla, fun, sri lankan, festive, playful, cheeky"
509,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-cheese,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/06-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift, cheese, bday"
510,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",rock,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/05-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, upbeat","thank you, rock, gratitude, appreciation, you rock, thankful"
511,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",legend,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/06-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, upbeat","thank you, legend, gratitude, appreciation, legendary, thankful"
512,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-wedded,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/08-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, wedded, love, couple, celebration"
513,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-lobster,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/09-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, playful","wedding, marriage, lobster, funny, friends reference, quirky, couple"
514,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-stamina,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/10-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, naughty, playful","wedding, marriage, stamina, funny, naughty, cheeky, adult humor, couple"
515,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-weirdos,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/11-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, playful","wedding, marriage, weirdos, funny, quirky, couple, humor"
516,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-banana,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/12-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, naughty, playful","wedding, marriage, banana, funny, naughty, cheeky, adult humor, couple"
517,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-timeless,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/13-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, timeless, classic, elegant, love, couple"
519,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-5-MissYou,1,Farewell Gift Card,Farewell,0,https://thyaga0323.sirv.com/Images/voucher-products/farewell/05-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",farewell,"colleague, friend, co worker","emotional, sentimental","farewell, goodbye, miss you, leaving, departure, emotional, colleague"
522,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-couple-white,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/14-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, couple, white, elegant, love"
523,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-warmwishes,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/15-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, warm wishes, newlyweds, love, couple"
524,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-nextchapter,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/16-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, next chapter, newlyweds, love, couple, new beginning"
525,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-oneplus,1,Wedding Gift Card,Weddings,0,https://thyaga0323.sirv.com/Images/voucher-products/wedding/17-front.png,Celebrate their forever with a gift that keeps giving.,wedding,"couple, newlyweds","funny, playful","wedding, marriage, one plus one, funny, couple, humor"
527,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-donkey,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/07-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,"anyone, friend, sibling","funny, playful","birthday, donkey, funny, quirky, humor, birthday gift, playful, bday"
528,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-rainbow,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/09-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, rainbow, celebrate, colorful, birthday magic, birthday gift, bday"
530,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",Birthday-redvelvet,1,Birthday Gift Card,Birthdays,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/08-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, red velvet, celebrate, birthday magic, birthday gift, bday"
531,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",Birthday-wine,1,Birthday Gift Card,Birthday,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/10-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, wine, celebrate, adult birthday, birthday gift, cheers, bday"
532,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-6-purple,1,Farewell Gift Card,Farewell,0,https://thyaga0323.sirv.com/Images/voucher-products/farewell/06-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, purple, colleague, going away, co worker"
538,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store-black,1,Multi-Store Gift Card,General,0,https://thyaga0323.sirv.com/Images/voucher-products/General/front-02.png,One voucher. Any occasion. All the freedom they'll love.,general,anyone,neutral,"any occasion, multi-store, freedom of choice, flexible gift, universal, black"
539,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store-green,1,Multi-Store Gift Card,General,0,https://thyaga0323.sirv.com/Images/voucher-products/General/front-01.png,One voucher. Any occasion. All the freedom they'll love.,general,anyone,general,"any occasion, multi-store, freedom of choice, flexible gift, universal, green"
540,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 150 merchants!",good_job_lightblue,1,Good Job Gift Card,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/good_job/front-02.png,"Whether it's a win or milestone, celebrate in style.",Congratulations,anyone,"fun, upbeat","good job, well done, congratulations, achievement, success, light blue"
541,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",thank-you-green,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/07-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, sincere","thank you, gratitude, appreciation, grateful, thankful, green"
542,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",thank-you-gray,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/08-front.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, sincere","thank you, gratitude, appreciation, grateful, thankful, gray"
589,"Big wins deserve bold congratulations. Gift ""Huge Congrats"" with a fun design and the freedom of choice through Thyaga. A great pick for workplace recognition, team milestones, or celebrating personal achievements in a meaningful way.",huge-congrats,1,Huge Congrats,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/Front-3.png,"Whether it's a win or milestone, celebrate in style.",thank you,anyone,"warm, sincere","thank you, heartfelt, gratitude, appreciation, grateful, sincere, aqua wave"
590,"Send a cheerful Congrats"" and let them celebrate their achievement with something they truly love. A fun and thoughtful gift for proud moments happy wins  and plenty of big smiles.""",congrats-red,1,Congrats,Congratulations,0,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/Front-04.png,"Whether it's a win or milestone, celebrate in style.",congratulations,anyone,"fun, upbeat","congrats, congratulations, achievement, proud moment, celebrate, well done"
591,"A playful design for someone who complements you perfectly. Gift You Are the Gin to My Tonic"" and let them celebrate your bond their way.""",gin-to-my-tonic,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pickup Lines Series,0,https://thyaga0323.sirv.com/Images/voucher-banners/sriLankanPickupLinesSeries/Front-02.png,"Flirt the Lankan way with love, laughs, and gifting.","valentine's day, general","partner, friend","playful, funny","gin tonic, sri lankan pick up line, humor, couple, bond, friendship, playful"
597,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store-orange,1,Multi-Store Gift Card,General,0,https://thyaga0323.sirv.com/Images/voucher-products/General/Front-03.png,One voucher. Any occasion. All the freedom they'll love.,general,anyone,neutral,"any occasion, multi-store, freedom of choice, flexible gift, universal, orange"
598,"<p>Celebrate the arrival of the newest bundle of joy with Thyaga Voucher! Our specially curated collection for newborns offers the perfect gift for the growing family. </br>
Whether it's baby gear or self-care indulgences for tired parents, our vouchers ensure everyone feels appreciated and cared for during this special time. Find the perfect gift to cherish these precious moments together!
Welcome the little one with love and happiness - explore our collection today!</p>",new-born-twins,1,New Born Gift Card,New Born,0,https://thyaga0323.sirv.com/Images/voucher-products/newborn/front094.png,New arrivals call for thoughtful gifts. We've got you.,new born,"parents, family, twins","warm, celebratory","newborn, twins, baby shower, new arrival, parents, double joy, new baby"
599,"Sometimes the best wishes go beyond words. ??
Send a thoughtful greeting that turns into real choices they'll truly enjoy. From delicious treats to stylish picks and everyday favorites, this voucher lets them celebrate your wishes their way. Simple to send, joyful to receive, and always filled with warmth.",wishingthebestgiftcard,1,Wishing the Best Gift Card,Greetings,0,https://thyaga0323.sirv.com/Images/voucher-products/bestwishes/front-02.png,Just checking in? Say it better with a voucher.,"general, best wishes",anyone,"warm, neutral","best wishes, any occasion, flexible, good luck, general gift, wishing well"
600,"Get ready to sprinkle some birthday magic!
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!
Add a dash of personal touch with a heartfelt message before you send it off.",birthday-break,1,Birthday Gift Card,Birthdays,0,https://thyaga0323.sirv.com/Images/voucher-products/birthday/front-11.png,"Birthdays made better with gifts they actually want, finally.",Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift, break, bday"
601,"Not whispered, not subtle. This one screams love, excitement, and all the feels, loud, bold, and unapologetic.",love26-Aaaderei,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/20-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, bold, passionate","love, adarei, sinhala, sri lankan, romantic, bold, lovebirds, valentine's day"
602," A gentle reminder wrapped in love, because sometimes the best gift is telling someone they're worth everything.",love26-YouDeservedIt,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/21-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, heartfelt, warm","love, you deserved it, heartfelt, romantic, lovebirds, valentine's day, appreciation"
603,"For hearts that feel close no matter the distance, sharing the same moon, the same love, always connected.",love26-Underthemoon,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/23-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, dreamy, heartfelt","love, under the moon, romantic, distance, lovebirds, valentine's day, connected"
604,"A prayer whispered with hope, answered by love. You are the dream my heart asked for.",love26-Dua,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/24-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, spiritual, heartfelt","love, dua, prayer, romantic, heartfelt, lovebirds, valentine's day, muslim"
605,"Playful, honest, and forever vibes only. A sweet promise that you're in this together, no escape allowed.",love26-yourstuckwithme,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/22-front.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, funny, playful","love, stuck with me, funny, playful, romantic, lovebirds, valentine's day, forever"
606,Go ahead. unwrap slowly. The surprise gets better layer by layer.,love26-unwrapme,1,Valentine's Day,Lovebirds,0,https://thyaga0323.sirv.com/Images/voucher-products/valentines/front-25.png,"For soulmates, situationships, or spicy just because"" surprises.""","anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship, husband, wife","romantic, playful, flirty, naughty","love, unwrap, playful, flirty, romantic, lovebirds, valentine's day, surprise, naughty"
607,"<p>Celebrating strength, grace, and brilliance, this special edition Thyaga voucher feels warm, modern, and full of appreciation. Simple and elegant with a cheerful touch, it's the perfect way to say you deserve this"" and let her choose what she truly loves.</p>""",bosslady#26,1,For Her,For Her,0,https://thyaga0323.sirv.com/Images/voucher-products/womensday/front-03.png,"From pampering to power moves, she'll love this pick.","general, women's day","woman, female, girl","empowering, warm, modern","for her, women, boss lady, women's day, empowerment, appreciation, strong, stylish, grace"
616,"Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice.
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible.",thankyouheartfelt246,1,Thank You Gift Card,Thank you,0,https://thyaga0323.sirv.com/Images/voucher-products/Aqua%20Wave/front-02.png,"A small card that says big, heartfelt thanks, stylishly.",thank you,anyone,"warm, sincere","thank you, heartfelt, gratitude, appreciation, grateful, sincere, aqua wave"
624,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Ammata-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",1,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-02.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu","mom, mother, family, amma","warm, festive, loving","avurudu, ammata, mom, mother, sinhala new year, tamil new year, sri lankan, festive, family"
625,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Akkata-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",1,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-01.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu","sister, akka, family","warm, festive, loving","avurudu, akkata, sister, akka, sinhala new year, tamil new year, sri lankan, festive, family"
627,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Mallita-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",1,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-06.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu","brother, malli, family","warm, festive, fun","avurudu, mallita, brother, malli, sinhala new year, tamil new year, sri lankan, festive, family"
628,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Nangita-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-07.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu","sister, nangi, family","warm, festive, loving","avurudu, nangita, sister, nangi, sinhala new year, tamil new year, sri lankan, festive, family"
629,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Thathata-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,"Avurudu, Made for Home",1,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-08.png,A thoughtful way to celebrate with your closest and dearest.,"Sinhala and Tamil New Year, Avurudu","dad, father, family","warm, festive, loving","avurudu, thathata, dad, father, sinhala new year, tamil new year, sri lankan, festive, family"
630,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Kiribath-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,Avurudu Is Here!,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-04.png,"Celebrate the joy of Avurudu, with a touch of thoughtful gifting.","Sinhala and Tamil New Year, Avurudu",anyone,"warm, festive, loving","avurudu, aiyata, brother, aiya, sinhala new year, tamil new year, sri lankan, festive, family, 2026"
631,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",Sinhala-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,Avurudu Is Here!,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-03.png,"Celebrate the joy of Avurudu, with a touch of thoughtful gifting.","Sinhala and Tamil New Year, Avurudu",anyone,"festive, cultural, fun","avurudu, sinhala new year, sri lankan, festive, celebrate, traditional, 2026"
632,"<p>Celebrate with Choice! This Avurudu, give the gift of options! Our colorful voucher is the key to a celebration filled with choices - shopping, dining, and beyond. It's a fun, flexible way to ensure everyone finds their perfect piece of the festival joy.</p>",English-Avurudu-2026,1,Sinhala & Tamil Avurudu Gift Card,Avurudu Is Here!,0,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/2026/front-05.png,"Celebrate the joy of Avurudu, with a touch of thoughtful gifting.","Sinhala and Tamil New Year, Avurudu",anyone,"festive, fun, inclusive","avurudu, sinhala new year, tamil new year, english, sri lankan, festive, celebrate, 2026"
